AUTHOR,BASE,DESTINATION_MODUL,DETAIL,FILE_NAME,FOLDER,FRIENDLY_URL,FUSEACTION,FUSEACTION2,HEAD,IS_ACTIVE,IS_ADD,IS_DELETE,IS_SPECIAL,IS_UPDATE,IS_WBO_DENIED,IS_WBO_FORM_LOCK,IS_WBO_LOCK,IS_WBO_LOG,LEFT_MENU_NAME,MODUL,MODUL_SHORT_NAME,OBJECTS_COUNT,RECORD_DATE,RECORD_EMP,RECORD_IP,RELATED_FUSEACTION,RELATED_MODUL_SHORT_NAME,SECURITY,STAGE,STATUS,TYPE,UPDATE_DATE,UPDATE_EMP,UPDATE_IP,VERSION,WINDOW
1,'ERP',NULL,NULL,'product_cost_rate_detail_ajax.cfm','display',NULL,'emptypopup_product_cost_rate_detail_ajax',NULL,'Üretim İşçilik Maliyetleri',1,0,0,0,0,0,0,0,NULL,'account_left_menu','Account','account',639,'2010-11-25 15:53:42.823',1898,'192.168.18.34',NULL,NULL,'HTTP',52,'Deployment',5,'2012-08-15 10:00:54.073',15,'192.168.18.66','v 12','emptypopup'
1,'ERP',NULL,NULL,'solve_cards.cfm','query',NULL,'emptypopup_solve_card',NULL,'Query Birleştirilmiş Fiş Çöz',1,1,1,0,1,0,0,0,NULL,'account_left_menu','Account','account',58,NULL,NULL,NULL,NULL,NULL,'HTTP',52,'Deployment',2,'2012-08-15 12:09:08.257',15,'192.168.18.66','v 12','emptypopup'
1,'ERP',NULL,NULL,'upd_account_open_row.cfm','query',NULL,'emptypopup_upd_account_open_row',NULL,'Query Açılış Fişi Satır Güncelle',1,0,0,0,1,0,0,0,NULL,'account_left_menu','Account','account',18,NULL,NULL,NULL,NULL,NULL,'HTTP',52,'Deployment',2,'2012-08-15 13:36:56.587',15,'192.168.18.66','v 12','emptypopup'
1,'ERP',NULL,NULL,'upd_bill_cash2cash.cfm','query',NULL,'emptypopup_upd_bill_cash2cash',NULL,'Query Mahsup Fişi Güncelle',1,0,0,0,1,0,0,0,NULL,'account_left_menu','Account','account',114,NULL,NULL,NULL,NULL,NULL,'HTTP',52,'Deployment',2,'2012-08-15 12:09:47.2',15,'192.168.18.66','v 12','emptypopup'
1,'ERP',NULL,NULL,'upd_bill_collecting.cfm','query',NULL,'emptypopup_upd_bill_collecting',NULL,'Query Tahsil Fişi Güncelle',1,0,0,0,1,0,0,0,NULL,'account_left_menu','Account','account',41,NULL,NULL,NULL,NULL,NULL,'HTTP',52,'Deployment',2,'2012-08-15 12:10:23.383',15,'192.168.18.66','v 12','emptypopup'
1,'ERP',NULL,NULL,'upd_bill_opening.cfm','query',NULL,'emptypopup_upd_bill_opening_act',NULL,'Query Açılış Fişi Güncelle',1,0,0,0,1,0,0,0,0,'account_left_menu','Account','account',5,'2012-02-28 11:06:48.0',NULL,NULL,'upd_bill_opening','account','HTTP',52,'Deployment',2,'2013-03-27 11:13:38.06',89,'10.0.0.11','v 12','normal'
1,'ERP',NULL,NULL,'upd_bill_payment.cfm','query',NULL,'emptypopup_upd_bill_payment',NULL,'Query Tediye Fişi Güncelle',1,0,0,0,1,0,0,0,NULL,'account_left_menu','Account','account',22,NULL,NULL,NULL,NULL,NULL,'HTTP',52,'Deployment',2,'2012-08-15 13:44:46.977',15,'192.168.18.66','v 12','emptypopup'
1,'ERP',NULL,NULL,'upd_inflation.cfm','query',NULL,'emptypopup_upd_inflation',NULL,'Query Enflasyon Tanımı Güncelle',1,0,0,0,1,0,0,0,NULL,'defin_left_menu','Account','account',2,NULL,NULL,NULL,NULL,NULL,'HTTP',52,'Deployment',2,'2012-08-15 13:48:19.453',15,'192.168.18.66','v 12','emptypopup'
1,'ERP',NULL,NULL,'upt_bills_process_group.cfm','query',NULL,'emptypopup_upt_bills_process_group',NULL,'Query Fiş Birleştime İşlem Grupları Ekle',1,0,0,0,1,0,0,0,NULL,'defin_left_menu','Account','account',3,'2011-05-12 12:40:12.0',2199,'192.168.18.33',NULL,NULL,'HTTP',52,'Deployment',2,'2012-08-15 13:41:39.8',15,'192.168.18.66','v 12','emptypopup'
1,'ERP',NULL,NULL,'add_balance_sheet_def.cfm','form',NULL,'form_add_balance_sheet_def',NULL,'Bilanço Tanmları',1,1,0,0,1,0,0,0,NULL,'defin_left_menu','Account','account',313,NULL,NULL,NULL,NULL,NULL,'HTTP',52,'Deployment',1,'2012-08-15 09:00:30.817',15,'192.168.18.66','v 12','normal'
1,'ERP',NULL,NULL,'add_bill_cash2cash.cfm','form',NULL,'form_add_bill_cash2cash',NULL,'form/add_bill_cash2cash.cfm',1,1,0,0,0,0,0,0,NULL,'account_left_menu','Account','account',761,NULL,NULL,NULL,NULL,NULL,'HTTP',52,'Deployment',1,'2012-07-25 15:43:32.907',3,'192.168.19.52','v 12','normal'
1,'ERP',NULL,NULL,'add_bill_collecting.cfm','form',NULL,'form_add_bill_collecting',NULL,'Tahsil Fişi Ekle',1,1,0,0,0,0,0,0,NULL,'account_left_menu','Account','account',485,NULL,NULL,NULL,NULL,NULL,'HTTP',52,'Deployment',1,'2012-08-15 09:15:11.603',15,'192.168.18.66','v 12','normal'
1,'ERP',NULL,NULL,'add_bill_opening.cfm','form',NULL,'form_add_bill_opening',NULL,'Açılış Fişi Ekle- Güncelle',1,1,0,0,1,0,0,0,0,'account_left_menu','Account','account',252,NULL,NULL,NULL,NULL,NULL,'HTTP',52,'Deployment',1,'2012-10-06 08:39:34.037',2,'192.168.18.139','v 12','normal'
1,'ERP',NULL,NULL,'add_bill_payment.cfm','form',NULL,'form_add_bill_payment',NULL,'Tediye Fişi Ekle',1,1,0,0,0,0,0,0,NULL,'account_left_menu','Account','account',195,NULL,NULL,NULL,NULL,NULL,'HTTP',52,'Deployment',1,'2012-08-15 09:59:09.307',15,'192.168.18.66','v 12','normal'
1,'ERP',NULL,NULL,'add_cash_flow_def.cfm','form',NULL,'form_add_cash_flow_def',NULL,'Nakit Akım Tablosu Tanımları',1,1,0,0,1,0,0,0,NULL,'defin_left_menu','Account','account',123,NULL,NULL,NULL,NULL,NULL,'HTTP',52,'Deployment',1,'2012-08-15 09:56:24.337',15,'192.168.18.66','v 12','normal'
1,'ERP',NULL,NULL,'add_cost_table_def.cfm','form',NULL,'form_add_cost_table_def',NULL,'Satışların Maliyeti Tablosu Tanımları',1,1,0,0,1,0,0,0,NULL,'defin_left_menu','Account','account',123,NULL,NULL,NULL,NULL,NULL,'HTTP',52,'Deployment',1,'2012-08-15 09:58:43.16',15,'192.168.18.66','v 12','normal'
1,'ERP',NULL,NULL,'add_fund_flow_def.cfm','form',NULL,'form_add_fund_flow_def',NULL,'Fon Akım Tablosu Tanımları',1,1,0,0,1,0,0,0,NULL,'defin_left_menu','Account','account',117,NULL,NULL,NULL,NULL,NULL,'HTTP',52,'Deployment',1,'2012-08-15 09:23:25.07',15,'192.168.18.66','v 12','normal'
1,'ERP',NULL,NULL,'add_income_table_def.cfm','form',NULL,'form_add_income_table_def',NULL,'İşletme Gelir Tablosu Tanımları',1,1,0,0,0,0,0,0,NULL,'defin_left_menu','Account','account',372,NULL,NULL,NULL,NULL,NULL,'HTTP',52,'Deployment',1,'2012-08-14 16:08:26.037',15,'192.168.18.66','v 12','normal'
1,'ERP',NULL,NULL,'form_add_invent.cfm','form',NULL,'form_add_invent',NULL,'Sabit Kıymet Tanımları',1,1,0,0,1,0,0,0,NULL,'defin_left_menu','Account','account',55,NULL,NULL,NULL,NULL,NULL,'HTTP',52,'Deployment',1,'2012-08-15 11:59:30.963',15,'192.168.18.66','v 12','normal'
1,'ERP',NULL,NULL,'add_reescount.cfm','form',NULL,'form_add_reescount',NULL,'Reeskont Ekle',1,1,0,0,0,NULL,NULL,NULL,0,NULL,'Account','account',40,'2012-09-07 10:01:52.0',10,'192.168.18.109',NULL,NULL,'HTTP',52,'Deployment',1,'2012-09-13 16:21:41.45',10,'192.168.18.109','v 12','normal'
1,'ERP',NULL,NULL,'concentrate_bill_no.cfm','form',NULL,'form_concentrate_bill_no',NULL,'Muhasebe Fiş Numaralarını Düzenle',1,0,0,0,1,0,0,0,NULL,'defin_left_menu','Account','account',192,NULL,NULL,NULL,NULL,NULL,'HTTP',52,'Deployment',1,'2012-08-15 11:12:44.54',15,'192.168.18.66','v 12','normal'
1,'ERP',NULL,NULL,'upd_bill_opening.cfm','form',NULL,'form_upd_bill_opening',NULL,'Açılış Fişi Güncelle',1,0,0,0,1,0,0,0,NULL,'account_left_menu','Account','account',420,'2012-02-28 11:06:48.0',NULL,NULL,'popup_upd_bill_opening','account','HTTP',52,'Deployment',1,'2012-08-15 13:11:44.707',15,'192.168.18.66','v 12','popup'
1,'ERP',NULL,NULL,'upd_reescount.cfm','form',NULL,'form_upd_reescount',NULL,'Reeskont İşlemi Detay',1,0,0,0,0,NULL,NULL,NULL,0,NULL,'Account','account',7,'2012-09-14 08:05:13.0',10,'192.168.18.109',NULL,NULL,'HTTP',52,'Deployment',3,NULL,NULL,NULL,'v 12','normal'
1,'ERP',NULL,NULL,'list_account_card.cfm','display',NULL,'list_account_card',NULL,'Yevmiye Defteri',1,0,0,0,0,0,0,0,NULL,'account_left_menu','Account','account',1198,'2012-02-28 11:06:48.0',NULL,NULL,NULL,NULL,'HTTP',52,'Deployment',4,'2012-08-14 16:01:28.94',15,'192.168.18.66','v 12','emptypopup'
1,'ERP',NULL,NULL,'list_account_card_rows.cfm','display',NULL,'list_account_card_rows',NULL,'Muavin Defter Dökümü',1,0,0,0,0,0,0,0,NULL,'account_left_menu','Account','account',1381,'2012-02-28 11:06:48.0',NULL,NULL,NULL,NULL,'HTTP',52,'Deployment',4,'2012-08-14 15:58:15.653',15,'192.168.18.66','v 12','emptypopup'
1,'ERP',NULL,NULL,'list_account_plan.cfm','display',NULL,'list_account_plan',NULL,'Hesaplar',1,0,0,0,0,0,0,0,0,'defin_left_menu','Account','account',2186,NULL,NULL,NULL,NULL,NULL,'HTTP',52,'Deployment',4,'2012-09-26 10:40:42.677',25,'192.168.6.15','v 12','normal'
1,'ERP',NULL,NULL,'balance_table_last.cfm','display',NULL,'list_balance_sheet',NULL,'display/balance_table_last.cfm',1,0,0,0,0,0,0,0,NULL,'fintab_left_menu','Account','account',626,NULL,NULL,NULL,NULL,NULL,'HTTP',52,'Deployment',4,'2012-06-19 09:12:26.24',10,'192.168.18.61','v 12','normal'
1,'ERP',NULL,NULL,'list_fintab.cfm','display',NULL,'list_balance_sheet_record',NULL,'Bilançolar',1,0,0,0,0,0,0,0,NULL,'fintab_left_menu','Account','account',118,'2012-02-28 11:06:48.0',NULL,NULL,'list_income_table_record','account','HTTP',52,'Deployment',4,'2012-08-15 11:28:51.393',15,'192.168.18.66','v 12','normal'
1,'ERP',NULL,NULL,'list_bills_process_groups.cfm','display',NULL,'list_bills_process_groups',NULL,'Fiş Birleştime İşlem Grupları',1,0,0,0,0,0,0,0,NULL,'defin_left_menu','Account','account',204,'2011-05-11 07:57:45.0',2199,'192.168.18.33',NULL,NULL,'HTTP',52,'Deployment',4,'2012-08-15 09:16:52.633',15,'192.168.18.66','v 12','normal'
1,'ERP',NULL,NULL,'list_cards.cfm','display',NULL,'list_cards','welcome','Muhasebe Fişleri',1,0,0,0,0,0,0,0,0,'account_left_menu','Account','account',6484,'2012-02-28 11:06:48.0',NULL,NULL,NULL,NULL,'HTTP',52,'Deployment',4,'2013-05-07 14:19:31.597',3,'192.168.18.140','v 12','normal'
1,'ERP',NULL,NULL,'list_cash_flow_sheet.cfm','display',NULL,'list_cash_flow_detail',NULL,'Nakit Akım Tablosu',1,0,0,0,0,0,0,0,NULL,'fintab_left_menu','Account','account',322,NULL,NULL,NULL,NULL,NULL,'HTTP',52,'Deployment',4,'2012-08-14 16:04:09.403',15,'192.168.18.66','v 12','normal'
1,'ERP',NULL,NULL,'list_fintab.cfm','display',NULL,'list_cash_flow_records',NULL,'Nakit Akım Tabloları',1,0,0,0,0,0,0,0,NULL,'fintab_left_menu','Account','account',55,'2012-02-28 11:06:48.0',NULL,NULL,'list_income_table_record','account','HTTP',52,'Deployment',4,'2012-08-15 11:30:39.78',15,'192.168.18.66','v 12','normal'
