_FAMILY,AUTHOR,BASE,CONTROLLER_FILE_PATH,DESTINATION_MODUL,DETAIL,DICTIONARY_ID,FILE_NAME,FILE_PATH,FOLDER,FRIENDLY_URL,FULL_FUSEACTION,FUSEACTION,FUSEACTION2,HEAD,IS_ACTIVE,IS_ADD,IS_DELETE,IS_MENU,IS_SPECIAL,IS_TEMP,IS_UPDATE,IS_WBO_DENIED,IS_WBO_FORM_LOCK,IS_WBO_LOCK,IS_WBO_LOG,LEFT_MENU_NAME,MODUL,MODUL_SHORT_NAME,MODULE_NO,OBJECTS_COUNT,POPUP_TYPE,RECORD_DATE,RECORD_EMP,RECORD_IP,RELATED_FUSEACTION,RELATED_MODUL_SHORT_NAME,SECURITY,STAGE,STATUS,TYPE,UPDATE_DATE,UPDATE_EMP,UPDATE_IP,VERSION,WINDOW
NULL,1,'ERP',NULL,NULL,NULL,NULL,'add_cash_flow_def.cfm','account/query/add_cash_flow_def.cfm','query',NULL,'account.emptypopup_add_cash_flow_sheet_def','emptypopup_add_cash_flow_sheet_def',NULL,'Query Nakit Akım Tablosu Tanımları',1,1,0,NULL,0,1,1,0,0,0,NULL,'defin_left_menu','Account','account',22,14,NULL,NULL,NULL,NULL,NULL,NULL,'HTTP',52,'Deployment',2,'2012-08-15 13:39:28.047',15,'192.168.18.66','v 12','emptypopup'
NULL,1,'ERP',NULL,NULL,NULL,NULL,'add_inflation.cfm','account/query/add_inflation.cfm','query',NULL,'account.emptypopup_add_inflation','emptypopup_add_inflation',NULL,'Query Enflasyon Tanımı Ekle',1,1,0,NULL,0,1,0,0,0,0,NULL,'defin_left_menu','Account','account',22,9,NULL,NULL,NULL,NULL,NULL,NULL,'HTTP',52,'Deployment',2,'2012-08-15 13:40:57.403',15,'192.168.18.66','v 12','emptypopup'
NULL,1,'ERP',NULL,NULL,NULL,NULL,'add_periods_to_in_out.cfm','hr/ehesap/query/add_periods_to_in_out.cfm','../hr/ehesap/query',NULL,'account.emptypopup_add_periods_to_in_out','emptypopup_add_periods_to_in_out',NULL,'Çalışan Muhasebe Tanımı Güncelle',1,1,0,NULL,0,1,0,NULL,NULL,NULL,0,NULL,'Account','account',22,132,NULL,'2014-01-14 18:48:09.0',2,'127.0.0.1',NULL,'ehesap','HTTP',52,'Development',2,NULL,NULL,NULL,'v 14.00','emptypopup'
NULL,1,'ERP',NULL,NULL,NULL,NULL,'add_reescount.cfm','account/query/add_reescount.cfm','query',NULL,'account.emptypopup_add_reescount','emptypopup_add_reescount',NULL,'Reeskont Ekle Query',1,1,0,NULL,0,1,0,NULL,NULL,NULL,0,NULL,'Account','account',22,44,NULL,'2012-09-12 13:39:37.0',10,'192.168.18.109',NULL,NULL,'HTTP',52,'Deployment',2,'2012-09-27 11:24:04.31',10,'192.168.18.109','v 12','emptypopup'
NULL,1,'ERP',NULL,NULL,NULL,NULL,'add_reflecting_account.cfm','account/query/add_reflecting_account.cfm','query',NULL,'account.emptypopup_add_refl_acc','emptypopup_add_refl_acc',NULL,'add_reflecting_account',1,1,0,NULL,0,1,1,NULL,NULL,NULL,0,NULL,'Account','account',22,810,NULL,'2014-07-08 12:45:08.0',1478,'127.0.0.1',NULL,NULL,'HTTP',52,'Development',2,NULL,NULL,NULL,'v 14.00','emptypopup'
NULL,1,'ERP',NULL,NULL,NULL,NULL,'add_reflecting_account_definition.cfm','account/query/add_reflecting_account_definition.cfm','query',NULL,'account.emptypopup_add_reflecting_acc_def','emptypopup_add_reflecting_acc_def',NULL,'Yansıtma Hesabı Tanımlama',1,1,0,NULL,0,1,0,NULL,NULL,NULL,0,NULL,'Account','account',22,898,NULL,'2014-07-03 11:18:25.0',1478,'127.0.0.1',NULL,NULL,'HTTP',52,'Development',2,NULL,NULL,NULL,'v 14.00','emptypopup'
NULL,1,'ERP',NULL,NULL,NULL,NULL,'add_save_fintab.cfm','account/query/add_save_fintab.cfm','query',NULL,'account.emptypopup_add_save_fintab','emptypopup_add_save_fintab',NULL,'Mali Tablolar Ekle Query',1,1,0,NULL,0,1,0,0,0,0,0,'fintab_left_menu','Account','account',22,321,NULL,NULL,NULL,NULL,NULL,NULL,'HTTP',52,'Deployment',2,'2014-04-21 16:13:31.617',31,'127.0.0.1','v 14.00','normal'
NULL,1,'ERP',NULL,NULL,NULL,NULL,'add_sum_bills.cfm','account/query/add_sum_bills.cfm','query',NULL,'account.emptypopup_add_sum_bills','emptypopup_add_sum_bills',NULL,'Query Hareket Birleştirme',1,1,0,NULL,0,1,0,0,0,0,NULL,'account_left_menu','Account','account',22,1191,NULL,NULL,NULL,NULL,NULL,NULL,'HTTP',52,'Deployment',2,'2012-08-15 09:20:13.01',15,'192.168.18.66','v 12','emptypopup'
NULL,1,'ERP',NULL,NULL,NULL,NULL,'add_bill_process_group.cfm','account/query/add_bill_process_group.cfm','query',NULL,'account.emptypopup_bills_process_group','emptypopup_bills_process_group',NULL,'Query Fiş Birleştime İşlem Grupları Ekle',1,1,0,NULL,0,1,0,0,0,0,NULL,'defin_left_menu','Account','account',22,15,NULL,'2011-05-11 13:05:48.0',2199,'192.168.18.33',NULL,NULL,'HTTP',52,'Deployment',2,'2012-08-15 13:20:47.68',15,'192.168.18.66','v 12','emptypopup'
NULL,1,'ERP',NULL,NULL,NULL,NULL,'concentrate_bill_numbers.cfm','account/query/concentrate_bill_numbers.cfm','query',NULL,'account.emptypopup_concentrate_bill_no','emptypopup_concentrate_bill_no',NULL,'Query Muhasebe Fiş Numaralarını Düzenle',1,1,0,NULL,0,1,0,0,0,0,NULL,'defin_left_menu','Account','account',22,671,NULL,NULL,NULL,NULL,NULL,NULL,'HTTP',52,'Deployment',2,'2012-08-15 13:48:00.48',15,'192.168.18.66','v 12','emptypopup'
NULL,1,'ERP',NULL,NULL,NULL,NULL,'create_netbook.cfm','account/query/create_netbook.cfm','query',NULL,'account.emptypopup_create_netbook','emptypopup_create_netbook',NULL,'emptypopup_create_netbook',1,1,0,NULL,0,1,0,NULL,NULL,NULL,0,NULL,'Account','account',22,4498,NULL,'2014-05-14 13:59:06.0',12,'127.0.0.1',NULL,NULL,'HTTP',52,'Development',2,NULL,NULL,NULL,'v 14.00','emptypopup'
NULL,1,'ERP',NULL,NULL,NULL,NULL,'del_account_card_document_type.cfm','account/query/del_account_card_document_type.cfm','query',NULL,'account.emptypopup_del_account_card_document_type','emptypopup_del_account_card_document_type',NULL,'query/del_bill_type.cfm',1,0,1,NULL,0,1,0,NULL,0,NULL,0,NULL,'Account','account',22,72,NULL,'2014-05-12 15:10:43.0',1478,'127.0.0.1',NULL,NULL,'HTTP',52,'Development',2,'2014-05-12 17:45:54.1',1478,'127.0.0.1','v 14.00','emptypopup'
NULL,1,'ERP',NULL,NULL,NULL,NULL,'del_account_card_payment_type.cfm','account/query/del_account_card_payment_type.cfm','query',NULL,'account.emptypopup_del_account_card_payment_type','emptypopup_del_account_card_payment_type',NULL,'query/del_bill_payment_type',1,0,1,NULL,0,1,0,NULL,0,NULL,0,NULL,'Account','account',22,30,NULL,'2014-05-12 15:50:05.0',1478,'127.0.0.1',NULL,NULL,'HTTP',52,'Development',2,'2014-05-12 17:47:47.223',1478,'127.0.0.1','v 14.00','emptypopup'
NULL,1,'ERP',NULL,NULL,NULL,NULL,'del_account_open_row.cfm','account/query/del_account_open_row.cfm','query',NULL,'account.emptypopup_del_account_open_row','emptypopup_del_account_open_row',NULL,'Açılış Fişi Satır Sil Query',1,0,1,NULL,0,1,0,NULL,NULL,NULL,0,NULL,'Account','account',22,48,NULL,'2013-02-07 11:19:33.0',10,'192.168.18.170',NULL,NULL,'HTTP',52,'Deployment',2,NULL,NULL,NULL,'v 12','emptypopup'
NULL,1,'ERP',NULL,NULL,NULL,NULL,'del_fintab.cfm','account/query/del_fintab.cfm','query',NULL,'account.emptypopup_del_fintab','emptypopup_del_fintab',NULL,'Query Kayıtlı Mali Tablolar Sil',1,0,1,NULL,0,1,0,0,0,0,NULL,'fintab_left_menu','Account','account',22,198,NULL,NULL,NULL,NULL,NULL,NULL,'HTTP',52,'Deployment',2,'2012-08-15 13:51:53.317',15,'192.168.18.66','v 12','normal'
NULL,1,'ERP',NULL,NULL,NULL,NULL,'del_inflation.cfm','account/query/del_inflation.cfm','query',NULL,'account.emptypopup_del_inflation','emptypopup_del_inflation',NULL,'Query Enflasyon Tanımı Sil',1,0,1,NULL,0,1,0,0,0,0,NULL,'defin_left_menu','Account','account',22,1,NULL,NULL,NULL,NULL,NULL,NULL,'HTTP',52,'Deployment',2,'2012-08-15 14:47:36.447',15,'192.168.18.66','v 12','emptypopup'
NULL,1,'ERP',NULL,NULL,NULL,NULL,'del_reescount.cfm','account/query/del_reescount.cfm','query',NULL,'account.emptypopup_del_reescount','emptypopup_del_reescount',NULL,'Reeskont Sil Query',1,0,1,NULL,0,1,0,NULL,NULL,NULL,0,NULL,'Account','account',22,14,NULL,'2012-09-14 13:08:11.0',10,'192.168.18.109',NULL,NULL,'HTTP',52,'Deployment',2,'2012-09-27 11:24:36.507',10,'192.168.18.109','v 12','emptypopup'
